Matt Olson,ATL,162,616,86,148,44,0,34,103,0,0,75,170,4,4,6,olsonma02
Dansby Swanson,ATL,162,640,99,177,32,1,25,96,18,7,49,182,3,4,0,swansda01
Francisco Lindor,NYM,161,630,98,170,25,5,26,107,16,6,59,133,10,7,2,lindofr01
Marcus Semien,TEX,161,657,101,163,31,5,26,83,25,8,53,120,4,10,0,semiema01
Pete Alonso,NYM,160,597,95,162,27,0,40,131,5,1,67,128,12,9,16,alonspe01
Vladimir Guerrero Jr.,TOR,160,638,90,175,35,0,32,97,8,3,58,116,6,4,6,guerrvl02
Trea Turner,LAD,160,652,101,194,39,4,21,100,27,3,45,131,3,6,1,turnetr01
Christian Walker,ARI,160,583,84,141,25,2,36,94,2,2,69,131,8,7,2,walkech02
Bo Bichette,TOR,159,652,91,189,43,1,24,93,13,8,41,155,2,2,0,bichebo01
Freddie Freeman,LAD,159,612,117,199,47,2,21,100,13,3,84,102,5,7,12,freemfr01
Austin Riley,ATL,159,615,90,168,39,2,38,93,2,0,57,168,17,4,1,rileyau01
Jake Cronenworth,SDP,158,587,88,141,31,4,17,88,3,0,70,131,16,8,3,croneja01
Ian Happ,CHC,158,573,72,155,42,2,17,72,9,4,58,149,6,4,4,happia01
José Abreu,CHW,157,601,85,183,40,0,15,75,0,0,62,110,12,4,2,abreujo02
Aaron Judge,NYY,157,570,133,177,28,0,62,131,16,3,111,175,6,5,19,judgeaa01
Nathaniel Lowe,TEX,157,593,74,179,26,3,27,76,2,2,48,147,4,0,2,lowena01
Shohei Ohtani,LAA,157,586,90,160,30,6,34,95,11,9,72,161,5,3,14,ohtansh01
Jose Ramirez,CLE,157,601,90,168,44,5,29,126,20,7,69,82,6,9,20,ramirjo01
Josh Bell,TOT,156,552,78,147,29,3,17,71,0,1,81,102,5,6,4,belljo02
Adam Frazier,SEA,156,541,61,129,22,4,3,42,11,6,46,73,5,6,1,fraziad01
Adolis García,TEX,156,605,88,151,34,5,27,101,25,6,40,183,6,6,2,garciad02
Rhys Hoskins,PHI,156,589,81,145,33,2,30,79,2,1,72,169,6,4,0,hoskirh01
Cedric Mullins,BAL,156,608,89,157,32,4,16,64,34,10,47,126,9,5,2,mullice01
Alex Bregman,HOU,155,548,93,142,38,0,23,93,1,2,87,77,11,10,1,bregmal01
Matt Chapman,TOR,155,538,83,123,27,1,27,76,2,2,68,170,10,5,1,chapmma01
Kyle Schwarber,PHI,155,577,100,126,21,3,46,94,10,1,86,200,4,2,3,schwaky01
Christian Yelich,MIL,154,575,99,145,25,4,14,57,19,3,88,162,5,2,5,yelicch01
Randy Arozarena,TBR,153,586,72,154,41,3,20,89,32,12,46,156,11,2,2,arozara01
Tommy Edman,STL,153,577,95,153,31,4,13,57,32,3,46,111,5,1,2,edmanto01
Ryan McMahon,COL,153,529,67,130,23,3,20,67,7,3,60,158,5,3,0,mcmahry01
Amed Rosario,CLE,153,637,86,180,26,9,11,71,18,4,25,111,4,4,0,rosaram01
Juan Soto,TOT,153,524,93,127,25,2,27,62,6,2,135,96,4,0,6,sotoju01
Rowdy Tellez,MIL,153,529,67,116,23,0,35,89,2,1,62,121,5,3,9,tellero01
Alec Bohm,PHI,152,586,79,164,24,3,13,72,2,3,31,110,4,10,1,bohmal01
Trent Grisham,SDP,152,451,58,83,16,2,17,53,7,1,57,150,7,2,1,grishtr01
Jurickson Profar,SDP,152,575,82,140,36,2,15,58,5,1,73,103,4,3,0,profaju01
Anthony Santander,BAL,152,574,78,138,24,0,33,89,0,2,55,122,13,5,1,santaan02
Myles Straw,CLE,152,535,72,118,22,3,0,32,21,1,54,87,1,4,0,strawmy01
Alex Verdugo,BOS,152,593,75,166,39,1,11,74,1,3,42,86,3,6,2,verdual01
Wilmer Flores,SFG,151,525,72,120,28,1,19,71,0,0,59,103,11,7,1,florewi01
Paul Goldschmidt,STL,151,561,106,178,41,0,35,115,7,0,79,141,5,4,1,goldspa01
Brandon Nimmo,NYM,151,580,102,159,30,7,16,64,3,2,71,116,16,3,0,nimmobr01
Corey Seager,TEX,151,593,91,145,24,1,33,83,3,0,58,103,7,5,7,seageco01
Daulton Varsho,ARI,151,531,79,125,23,3,27,74,16,6,46,145,7,5,0,varshda01
Xander Bogaerts,BOS,150,557,84,171,38,0,15,73,8,2,57,118,10,7,2,bogaexa01
Seth Brown,OAK,150,500,55,115,26,3,25,73,11,2,51,146,3,1,3,brownse01
C.J. Cron,COL,150,575,79,148,28,3,29,102,0,0,43,164,8,5,6,croncj01
Ha-Seong Kim,SDP,150,517,58,130,29,3,11,59,12,2,51,100,7,4,0,kimha01
Manny Machado,SDP,150,578,100,172,37,1,32,102,9,1,63,133,1,2,10,machama01
Jorge Mateo,BAL,150,494,63,109,25,7,13,50,35,9,27,147,5,2,0,mateojo01
